updateCount,lastprice,volume,bidsize,bid,ask,asksize
153,26.77,2482,394,26.77,26.78,123
154,26.77,2488,390,26.77,26.78,121
155,26.77,2488,390,26.77,26.78,121
156,26.77,2590,290,26.77,26.78,119
157,26.77,2590,290,26.77,26.78,119
158,26.77,2590,270,26.77,26.78,219
159,26.78,2596,271,26.77,26.78,214
160,26.78,2598,272,26.77,26.78,215
161,26.78,2598,271,26.77,26.78,215
162,26.77,2600,270,26.77,26.78,218
163,26.77,2759,192,26.76,26.78,218
164,26.77,2759,192,26.76,26.78,218
165,26.78,2781,232,26.76,26.78,216
166,26.78,2858,254,26.76,26.78,206
167,26.78,2858,254,26.76,26.78,206
168,26.77,2886,312,26.76,26.77,16
169,26.78,2936,312,26.76,26.78,182
170,26.78,2936,312,26.76,26.78,182
171,26.78,2956,21,26.77,26.78,150
172,26.78,2956,21,26.77,26.78,150
173,26.78,2956,61,26.77,26.78,153
174,26.77,2958,59,26.77,26.78,153
175,26.78,2959,59,26.77,26.78,155
176,26.78,2959,59,26.77,26.78,155
177,26.78,2963,293,26.77,26.78,157
178,26.78,2963,293,26.77,26.78,157
179,26.78,2963,296,26.77,26.78,157
180,26.78,2963,316,26.77,26.78,157
181,26.77,2970,390,26.77,26.78,156
182,26.77,2970,390,26.77,26.78,156
183,26.78,3001,395,26.77,26.78,127
184,26.77,3006,397,26.77,26.78,127
185,26.77,3006,397,26.77,26.78,127
186,26.78,3007,397,26.77,26.78,123
187,26.77,3050,358,26.77,26.78,120
188,26.77,3050,358,26.77,26.78,120
189,26.77,3051,360,26.77,26.78,120
190,26.77,3052,364,26.77,26.78,120
191,26.77,3052,364,26.77,26.78,120
192,26.78,3058,363,26.77,26.78,116
193,26.77,3063,360,26.77,26.78,119
194,26.77,3063,360,26.77,26.78,119
195,26.77,3073,350,26.77,26.78,121
196,26.78,3164,262,26.77,26.78,120
197,26.78,3164,262,26.77,26.78,120
198,26.77,3165,277,26.77,26.78,141
199,26.77,3173,271,26.77,26.78,140
200,26.77,3173,271,26.77,26.78,140
201,26.77,3330,136,26.77,26.78,171
202,26.78,3373,7,26.77,26.78,188
203,26.78,3373,7,26.77,26.78,188
204,26.77,3379,16,26.77,26.78,196
205,26.77,3382,13,26.77,26.78,197
206,26.77,3382,13,26.77,26.78,197
207,26.77,3391,14,26.77,26.78,193
208,26.77,3396,13,26.77,26.78,190
209,26.77,3396,13,26.77,26.78,190
210,26.77,3403,32,26.77,26.78,185
211,26.78,3404,35,26.77,26.78,186
212,26.77,3405,34,26.77,26.78,186
213,26.77,3409,30,26.77,26.78,191
214,26.77,3410,29,26.77,26.78,191
215,26.77,3410,30,26.77,26.78,191
216,26.77,3441,235,26.76,26.77,169
217,26.77,3444,235,26.76,26.77,167
218,26.77,3444,235,26.76,26.77,167
219,26.77,3452,235,26.76,26.77,163
220,26.77,3452,235,26.76,26.77,163
221,26.77,3452,235,26.76,26.77,163
222,26.77,3452,235,26.76,26.77,163
223,26.77,3452,235,26.76,26.77,163
224,26.77,3452,235,26.76,26.77,166
225,26.77,3454,242,26.76,26.77,169
226,26.77,3454,242,26.76,26.77,169
227,26.77,3454,242,26.76,26.77,189
228,26.77,3455,242,26.76,26.77,190
229,26.77,3468,241,26.76,26.77,179
230,26.77,3468,241,26.76,26.77,179
231,26.77,3468,241,26.76,26.77,180
232,26.77,3478,241,26.76,26.77,170
233,26.77,3478,241,26.76,26.77,170
234,26.77,3479,242,26.76,26.77,170
235,26.76,3484,237,26.76,26.77,170
236,26.77,3486,237,26.76,26.77,168
237,26.77,3488,242,26.76,26.77,166
238,26.76,3489,242,26.76,26.77,166
239,26.76,3489,242,26.76,26.77,166
240,26.76,3489,243,26.76,26.77,166
241,26.76,3492,240,26.76,26.77,166
242,26.77,3493,240,26.76,26.77,165
243,26.77,3495,240,26.76,26.77,163
244,26.76,3545,191,26.76,26.77,183
245,26.76,3545,191,26.76,26.77,183
246,26.76,3570,186,26.76,26.77,163
247,26.76,3572,186,26.76,26.77,143
248,26.77,3598,246,26.76,26.77,117
249,26.76,3881,144,26.76,26.77,20
250,26.76,3882,163,26.76,26.77,3
251,26.77,3885,163,26.76,26.78,165
252,26.76,3886,162,26.76,26.77,2
253,26.77,3988,63,26.76,26.77,112
254,26.77,3988,309,26.75,26.77,114
255,26.77,3990,102,26.76,26.77,177
256,26.77,3990,102,26.76,26.77,177
257,26.77,3990,44,26.76,26.77,232
258,26.76,4009,364,26.75,26.76,69
259,26.76,4011,363,26.75,26.76,68
260,26.76,4012,362,26.75,26.76,67
261,26.76,4012,402,26.75,26.76,67
262,26.76,4012,402,26.75,26.76,67
263,26.76,4012,361,26.75,26.76,68
264,26.76,4012,361,26.75,26.76,124
265,26.76,4013,361,26.75,26.76,123
266,26.76,4015,361,26.75,26.76,125
267,26.76,4027,380,26.75,26.76,114
268,26.76,4027,380,26.75,26.76,114
269,26.76,4027,380,26.75,26.76,115
270,26.76,4030,379,26.75,26.76,114
271,26.76,4030,379,26.75,26.76,114
272,26.75,4032,378,26.75,26.76,114
273,26.75,4035,382,26.75,26.76,113
274,26.75,4035,382,26.75,26.76,113
275,26.75,4043,377,26.75,26.76,110
276,26.76,4065,360,26.75,26.76,105
277,26.75,4066,347,26.75,26.76,105
278,26.76,4068,347,26.75,26.76,103
279,26.76,4068,347,26.75,26.76,103
280,26.76,4068,347,26.75,26.76,103
281,26.75,4069,356,26.75,26.76,103
282,26.75,4120,306,26.75,26.76,103
283,26.75,4120,306,26.75,26.76,103
284,26.75,4141,295,26.75,26.76,113
285,26.76,4192,315,26.75,26.76,92
286,26.76,4192,315,26.75,26.76,92
287,26.76,4200,311,26.75,26.76,85
288,26.76,4230,297,26.75,26.76,65
289,26.76,4230,297,26.75,26.76,65
290,26.76,4238,299,26.75,26.76,57
291,26.75,4240,306,26.75,26.76,97
292,26.75,4240,306,26.75,26.76,97
293,26.75,4244,303,26.75,26.76,105
294,26.76,4250,304,26.75,26.76,99
295,26.76,4250,303,26.75,26.76,99
296,26.76,4254,303,26.75,26.76,96
297,26.76,4254,303,26.75,26.76,96
298,26.76,4254,305,26.75,26.76,147
299,26.75,4255,303,26.75,26.76,147
300,26.75,4255,303,26.75,26.76,147
301,26.75,4255,303,26.75,26.76,147
302,26.75,4255,313,26.75,26.76,147
303,26.75,4268,301,26.75,26.76,153
304,26.75,4268,301,26.75,26.76,153
305,26.75,4269,310,26.75,26.76,204
306,26.76,4282,310,26.75,26.76,224
307,26.76,4282,310,26.75,26.76,224
308,26.75,4287,319,26.75,26.76,225
309,26.76,4288,319,26.75,26.76,224
310,26.76,4288,319,26.75,26.76,224
311,26.75,4289,319,26.75,26.76,229
312,26.76,4294,319,26.75,26.76,224
313,26.76,4294,319,26.75,26.76,224
314,26.75,4304,310,26.75,26.76,224
315,26.75,4304,310,26.75,26.76,224
316,26.75,4304,310,26.75,26.76,224
317,26.75,4304,310,26.75,26.76,224
318,26.75,4311,303,26.75,26.76,174
319,26.75,4311,303,26.75,26.76,174
320,26.75,4318,296,26.75,26.76,174
321,26.75,4328,286,26.75,26.76,174
322,26.75,4328,286,26.75,26.76,174
323,26.75,4330,284,26.75,26.76,197
324,26.75,4331,283,26.75,26.76,199
325,26.75,4416,198,26.75,26.76,199
326,26.76,4417,178,26.75,26.76,278
327,26.76,4419,178,26.75,26.76,277
328,26.76,4419,178,26.75,26.76,277
329,26.75,4430,171,26.75,26.76,284
330,26.75,4435,192,26.75,26.76,284
331,26.75,4435,192,26.75,26.76,284
332,26.75,4439,190,26.75,26.76,282
333,26.75,4448,181,26.75,26.76,282
334,26.75,4450,179,26.75,26.76,282
335,26.75,4461,168,26.75,26.76,282
336,26.75,4468,163,26.75,26.76,295
337,26.75,4468,163,26.75,26.76,295
338,26.76,4469,164,26.75,26.76,294
339,26.75,4475,158,26.75,26.76,294
340,26.76,4477,158,26.75,26.76,292
341,26.75,4478,159,26.75,26.76,293
342,26.75,4479,158,26.75,26.76,392
343,26.75,4479,159,26.75,26.76,392
344,26.75,4480,159,26.75,26.76,392
345,26.76,4483,160,26.75,26.76,390
346,26.76,4483,160,26.75,26.76,390
347,26.76,4483,163,26.75,26.76,390
348,26.75,4484,163,26.75,26.76,390
349,26.75,4484,163,26.75,26.76,390
350,26.75,4484,175,26.75,26.76,390
351,26.75,4505,155,26.75,26.76,390
352,26.75,4505,155,26.75,26.76,390
353,26.75,4507,234,26.75,26.76,392
354,26.75,4533,209,26.75,26.76,392
355,26.75,4533,209,26.75,26.76,392
356,26.75,4566,195,26.75,26.76,393
357,26.75,4572,190,26.75,26.76,391
358,26.75,4572,189,26.75,26.76,391
359,26.75,4572,190,26.75,26.76,391
360,26.75,4624,139,26.75,26.76,391
361,26.75,4624,139,26.75,26.76,391
362,26.75,4742,169,26.74,26.75,116
363,26.75,4751,169,26.74,26.75,213
364,26.75,4751,167,26.74,26.75,213
365,26.75,4754,167,26.74,26.75,219
366,26.75,4814,187,26.74,26.75,264
367,26.75,4814,187,26.74,26.75,266
368,26.74,4829,185,26.74,26.75,261
369,26.74,4831,183,26.74,26.75,261
370,26.74,4831,183,26.74,26.75,261
371,26.74,4832,182,26.74,26.75,261
372,26.74,4840,180,26.74,26.75,255
373,26.74,4840,200,26.74,26.75,256
374,26.74,4840,200,26.74,26.75,233
375,26.74,4933,87,26.74,26.75,234
376,26.73,5023,374,26.73,26.75,234
377,26.75,5050,2,26.74,26.75,233
378,26.75,5070,43,26.74,26.75,293
379,26.75,5070,43,26.74,26.75,293
380,26.74,5071,173,26.74,26.75,293
381,26.74,5076,197,26.74,26.75,273
382,26.74,5078,198,26.74,26.75,273
383,26.74,5082,251,26.74,26.75,273
384,26.74,5083,286,26.74,26.75,193
385,26.74,5083,283,26.74,26.75,193
386,26.74,5083,314,26.74,26.75,193
387,26.75,5217,311,26.74,26.75,65
388,26.75,5282,355,26.74,26.76,393
389,26.74,5291,346,26.74,26.75,13
390,26.75,5305,446,26.74,26.75,2
391,26.75,5307,199,26.75,26.76,393
392,26.75,5307,301,26.75,26.76,393
393,26.75,5307,301,26.75,26.76,393
394,26.75,5307,336,26.75,26.76,392
395,26.75,5320,353,26.75,26.76,392
396,26.75,5320,353,26.75,26.76,392
397,26.75,5322,352,26.75,26.76,392
398,26.75,5372,69,26.75,26.76,402
399,26.75,5390,51,26.75,26.76,402
400,26.75,5438,3,26.75,26.76,402
401,26.75,5442,491,26.74,26.75,49
402,26.75,5443,491,26.74,26.75,50
403,26.74,5444,490,26.74,26.75,50
